Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,2026-05-06,-88.0,-48.0,40.0
EFX,EQUIFAX INC.,Industrials,2026-05-06,-87.0,-32.0,55.0
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-05-06,-82.0,-35.0,47.0
IP,INTERNATIONAL PAPER COMPANY,Materials,2026-05-06,-82.0,-44.0,38.0
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-05-06,-80.0,-58.0,22.0
TPL,TEXAS PACIFIC LAND ,Energy,2026-05-06,-78.0,-44.0,34.0
CVX,CHEVRON ,Energy,2026-05-06,-77.0,-18.0,59.0
NOW,"SERVICENOW, INC.",Information Technology,2026-05-06,-75.0,-49.0,26.0
RSG,"REPUBLIC SERVICES, INC.",Industrials,2026-05-06,-72.0,-58.0,14.0
DAL,"DELTA AIR LINES, INC.",Industrials,2026-05-06,-70.0,-36.0,34.0
