Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-05-07,Q,"QNITY ELECTRONICS, INC.",149.44,0.0426,132.29,171.4,1.280466472303207,20.0,97.0
2026-05-07,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,79.35,-0.01,74.2,86.6,1.4077669902912644,40.0,79.0
2026-05-07,SNDK,SANDISK CORPORATION,1409.98,0.1879,999.23,1626.21,-1.899597650649771,46.0,74.0
2026-05-07,PNR,PENTAIR PUBLIC LIMITED COMPANY,79.91,0.0102,70.71,93.6,1.488043478260869,67.0,71.0
2026-05-07,GNK,GENCO SHIPPING & TRADING LIMITED,25.5,0.0395,21.98,27.21,-2.0584795321637412,23.0,70.0
2026-05-07,BBY,"BEST BUY CO., INC.",58.69,-0.0226,53.62,63.68,-1.016032064128256,-35.0,-66.0
2026-05-07,BIIB,BIOGEN INC.,190.68,0.0194,172.99,205.25,-1.21413864104324,-33.0,-66.0
2026-05-07,TGT,TARGET ,130.19,0.0101,122.06,140.24,1.2361623616236184,-35.0,-68.0
2026-05-07,EDV,VANGUARD EXT DUR T;ETF,64.11,0.0087,59.64,67.17,-1.4607843137254888,-58.0,-72.0
2026-05-07,NKE,"NIKE, INC.",43.88,-0.0117,36.66,48.41,-1.5938189845474648,-62.0,-85.0
