Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
NXPI,NXP SEMICONDUCTORS NV,Information Technology,2026-05-06,-135.0,-50.0,85.0
AVY,AVERY DENNISON ,Materials,2026-05-06,-130.0,-45.0,85.0
STLD,"STEEL DYNAMICS, INC.",Materials,2026-05-06,-126.0,-53.0,73.0
INDA,ISHARES:MSCI INDIA,Foreign,2026-05-06,-121.0,-73.0,48.0
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-05-06,-116.0,-86.0,30.0
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-05-06,-114.0,-74.0,40.0
EMR,EMERSON ELECTRIC CO.,Industrials,2026-05-06,-113.0,-44.0,69.0
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-05-06,-111.0,-58.0,53.0
SW,SMURFIT WESTROCK PUBLIC LIMITED COMPANY,Materials,2026-05-06,-108.0,-44.0,64.0
DD,"DUPONT DE NEMOURS, INC.",Materials,2026-05-06,-107.0,-23.0,84.0
