Date,Ticker,Ticker_name,Close,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_rr_ratio,week_rr_ratio,month_rr_ratio,gap_lt,gap_lt_avg,gap_lt_hi,gap_lt_lo,ST_Trend,st_avg,st_lo,st_hi,MT_Trend,mt_avg,mt_lo,mt_hi,LT_Trend,lt_avg,lt_lo,lt_hi,ST_Trend_Change,MT_Trend_Change,Z-Score Rank,Z-Score,Sharpe,Sharpe_avg,Sharpe_hi,Sharpe_low,Sharpe_Rank,prem_disc,prem_disc_avg,prem_disc_lo,prem_disc_hi,factor,model_score
2026-03-20,NEE,"NEXTERA ENERGY, INC.",89.5,88.72,94.84,85.9,101.02,82.45,106.42,4.320312499999997,3.2000000000000037,2.4000000000000012,-11.689999999999998,-3.4923026315789456,-0.4323687531340039,-6.552236510023887,-0.00737062,0.0029027121710526313,-0.016875850966462533,0.022681275308567797,0.03013211,0.006499352417218538,-0.016668109560722014,0.02966681439515909,0.04943588,0.002012987868852498,-0.03022626494855578,0.034252240686260774,0.00538712,0.00191191,86.1,1.08,-0.478,0.21594078947368422,1.1758892736081792,-0.7440076946608107,20.8,0.39393319405589233,0.10129407317401633,-0.1904848287096848,0.3930729750577175,0.95,91.0
2026-03-20,JBL,JABIL INC.,253.63,238.11,270.28,221.0,288.76,206.24,328.25,1.2354758961681087,1.0766166104811523,1.5745937961595278,-36.03000000000003,-24.615394736842095,-13.987373247977818,-35.24341622570637,-0.01774448,0.007724498125,-0.025250189043907238,0.04069918529390724,0.02562674,0.019372874900662262,-0.03179968345515008,0.0705454332564746,0.06216414,0.06639424232786909,0.05254035244012619,0.08024813221561197,0.00433216,0.00681494,42.7,-0.2,-0.575,0.40488486842105276,1.4731256926962573,-0.6633559558541516,13.7,0.08960796124954395,0.09378461436125649,-0.26908740999657577,0.4566566387190888,0.81,91.0
2026-03-20,CIEN,CIENA CORPORATION,383.89,329.26,436.26,289.72,452.49,232.0,543.82,1.5150392327811681,-1.37274052478134,1.0529330436500104,-112.30000000000001,-34.13615131578947,4.295876401281021,-72.56817903285996,0.02532505,0.018501118980263177,-0.030179092350658177,0.06718133031118453,0.07035961,0.047649311324503354,-0.03160980988647638,0.1269084325354831,0.21712372,0.11285465734426202,0.05401988502892988,0.17168942965959416,0.00783322,0.02561534,86.3,1.77,0.56,0.6340855263157892,1.7190645177266932,-0.45089346509511485,37.9,0.05303209739755532,0.3714073786688397,0.12680787977650007,0.6160068775611793,0.897,86.0
2026-03-20,BKR,BAKER HUGHES COMPANY,60.35,51.82,60.3,49.66,68.95,51.01,77.17,-3.7157360406091393,-1.2430232558139538,1.80085653104925,-9.080000000000005,-4.449210526315791,-1.8828486586010191,-7.0155723940305625,-0.03084068,0.004665807006578943,-0.026320094518339162,0.035651708531497045,0.03885973,0.009523327814569554,-0.04263400972428946,0.061680665353428574,0.08333711,0.044067475147541064,0.02507489858064727,0.06306005171443485,0.00325739,0.00440602,92.3,2.1,-0.305,0.32099342105263157,1.2210107769300984,-0.5790239348248354,25.2,0.0782651643453407,0.0708343228270293,-0.23637366324125425,0.3780423088953128,0.885,84.0
2026-03-20,STNG,SCORPIO TANKERS INC.,67.98,62.07,73.12,61.25,85.88,54.67,95.74,-1.2879120879120902,2.65973254086181,2.085649887302779,-10.909999999999997,-2.3558552631578955,1.0302907385169706,-5.742001264832762,-0.03241009,0.007138283223684208,-0.03158499780940718,0.04586156425677559,0.06808867,0.0029172674503311342,-0.05228461213508491,0.05811914703574718,0.01287487,-0.006080081737704938,-0.025055170361248748,0.01289500688583887,-0.00867546,0.00338425,82.7,1.32,-0.439,0.12762828947368418,1.3908487286199689,-1.1355921496726005,23.6,0.09027338661978246,0.16931209933945643,-0.19231430534836244,0.5309385040272753,0.735,83.0
2026-03-20,SNDK,SANDISK CORPORATION,709.71,654.58,817.61,572.78,982.96,424.59,1856.19,2.423335252350795,1.9955451690644845,4.02104377104377,-722.6800000000001,-230.07960396039607,29.890413843689032,-490.0496217644812,0.03361246,0.04831467290441177,-0.05039630260076569,0.14702564840958923,0.25479657,0.1664305088461538,0.004043154484012296,0.3288178632082953,0.68543162,0.46651450945812817,0.24097379255952062,0.6920552263567357,0.00376922,0.02395146,41.7,-0.53,0.323,0.7728007812499996,1.9122110291841783,-0.36660946668417893,32.7,0.05317796368167027,-0.09584408598147631,-0.22285062595555424,0.03116245399260162,0.7145,80.0
2026-03-20,STX,SEAGATE TECHNOLOGY HOLDINGS,411.23,370.03,453.78,335.22,498.8,323.02,594.49,1.395833333333333,1.1520852519405342,2.077542228772247,-92.99000000000001,-36.50700657894737,3.192215365859795,-76.20622852375453,0.00652456,0.022918710526315764,-0.02637955826561647,0.072216979318248,0.08870781,0.0566515708609272,-0.01805818059829835,0.13136132232015274,0.15265612,0.07742594095081959,0.02725001580052743,0.12760186610111174,0.00593632,0.00644676,38.5,-0.26,-0.014,0.6827927631578948,1.8993582961996123,-0.5337727698838227,19.2,0.1321236604070879,0.04391134083712801,-0.27365528217636803,0.36147796385062403,0.825,79.0
2026-03-20,WDC,WESTERN DIGITAL ,293.1,271.42,339.4,242.17,353.17,209.76,435.96,2.847557702630165,1.1794620066758286,1.7141828653707691,-81.38,-23.158717105263168,7.104328326596381,-53.42176253712272,0.02916878,0.02838829595394736,-0.022560104227254893,0.07933669613514961,0.09774408,0.055447363046357605,-0.04518064924320465,0.15607537533591986,0.19237795,0.07995090081967234,0.0058667643131020825,0.15403503732624257,0.00170828,0.01163456,50.6,-0.11,0.105,0.8861052631578951,2.07797011450078,-0.30575958818498983,17.7,0.08598353087804056,0.06942711615102078,-0.2861244446835485,0.42497867698559,0.81,77.0
2026-03-20,AMAT,"APPLIED MATERIALS, INC.",357.06,322.74,364.03,298.34,415.22,269.6,462.88,-2.6997654417513663,-1.0096286107290233,1.2099245369311686,-50.19,-21.77657894736843,-4.477303218800465,-39.0758546759364,-0.03242801,0.0078077289144736885,-0.028753412113928064,0.04436886994287544,0.05360452,0.022894813344370848,-0.030434534571157888,0.07622416125989959,0.07080625,0.04397956039344264,0.0281543616416839,0.05980475914520138,0.00503674,0.00814137,11.7,-1.95,-0.38,0.4025493421052632,1.3669679639108434,-0.5618692797003169,19.6,0.2229392662409857,-0.017219546807251157,-0.2665472747109298,0.2321081810964275,0.81,77.0
2026-03-20,LRCX,LAM RESEARCH ,228.36,202.04,239.09,184.17,269.11,175.85,312.65,-1.4902077151335325,-1.084417177914111,1.605218053704055,-43.19999999999999,-17.405953947368413,-1.2585406504130532,-33.55336724432377,-0.02542502,0.013206675460526323,-0.025658977710565873,0.05207232863161852,0.05548596,0.034613328278145686,-0.027279122941299937,0.09650577949759132,0.11136361,0.06819893229508206,0.0365377137893109,0.09986015080085323,0.0076242,0.00616793,48.2,-0.1,-0.447,0.5799407894736843,1.4680274652420253,-0.30814588629465667,10.5,0.2368410055906096,0.011372027682326305,-0.23833175753392008,0.2610758128985727,0.81,77.0
